harvest_day,seedling,water_potential_m_pa,approximate_measurement_time,notes_WP,date,harvester,time,water_level,n,total_tips,colonized_tips,root_mass_mg,frozen_at_time,notes_COL,colonized,percent_col,minutes_in_cooler,drydown_day,corrected_phi,ID,mass (g)
4,HC010,-1.7,16:00:00,NA,20220214,Laura,14:13:00,H,Minus,84,56,0.62,14:36,"time frozen is an estimate based on start time of next seedling, was not noted.",Y,66.66666666666666,107,10,-1.532973,HC010,0.112
4,HC014,-1.7,16:06:00,NA,20220214,Isobel,12:07:00,H,Minus,70,63,0.31,12:15,NA,Y,90,239,10,-1.326921,HC014,0.079
4,HC090,-1.7,16:08:00,NA,20220214,Isobel,14:57:00,L,Plus,100,83,0.53,15:05,NA,Y,83,71,10,-1.589169,HC090,0.084
4,HC024,-1.7,16:12:00,NA,20220214,Isobel,12:35:00,M,Minus,25,21,0.34,12:45,NA,Y,84,217,10,-1.361263,HC024,0.062
1,MM029,-1.6,16:24:00,NA,20220204,Oceana,14:13:00,M,Minus,NA,NA,0.43,14:20,NA,N,0,131,1,-1.395509,MM029,0.084
1,HC058,-1.6,17:02:00,NA,20220204,Isobel,12:10:00,H,Plus,83,61,0.52,12:25,NA,Y,73.49397590361446,292,1,-1.144188,HC058,0.085
1,HC042,-1.6,17:04:00,NA,20220204,Oceana,12:05:00,H,Minus,106,65,0.59,12:19,NA,Y,61.32075471698113,299,1,-1.133261,HC042,0.12
2,HC051,-1.6,17:14:00,NA,20220206,Glade,11:41:00,M,Plus,84,60,0.51,12:06,NA,Y,71.42857142857143,333,3,-1.080187,HC051,0.091
3,HC047,-1.6,11:55:00,NA,20220210,Oceana,10:00:00,H,Minus,140,93,0.45,10:23,NA,Y,66.42857142857143,115,7,-1.420485,HC047,0.092
3,MM093,-1.6,16:36:00,NA,20220210,Isobel,13:19:00,M,Plus,NA,NA,0.5,13:26,NA,N,0,197,7,-1.292483,MM093,0.068
3,HC071,-1.6,16:46:00,NA,20220210,Laura,14:11:00,H,Minus,43,16,0.15,14:23,awful mycos v. little hyphae,Y,37.2093023255814,155,7,-1.358045,HC071,0.053
4,HC045,-1.6,12:21:00,NA,20220214,Isobel,11:30:00,H,Plus,143,120,0.58,11:50,NA,Y,83.91608391608392,51,10,-1.520389,HC045,0.119
4,MM070,-1.6,15:50:00,3:50 PM,20220214,Isobel,12:15:00,L,Plus,NA,NA,0.47,12:20,NA,N,0,215,10,-1.264385,MM070,0.07
4,MM042,-1.6,16:04:00,NA,20220214,Isobel,12:02:00,H,Minus,NA,NA,0.19,12:07,NA,N,0,242,10,-1.222238,MM042,0.066
4,HC093,-1.6,16:10:00,NA,20220214,Isobel,12:20:00,L,Plus,127,125,0.52,12:30,NA,Y,98.4251968503937,230,10,-1.24097,HC093,0.092
4,MM037,-1.6,16:18:00,NA,20220214,Isobel,13:40:00,L,Plus,NA,NA,0.51,13:47,NA,N,0,158,10,-1.353362,MM037,0.77
1,HC027,-1.5,16:52:00,NA,20220204,Oceana,13:55:00,M,Minus,90,71,0.51,14:12,NA,Y,78.88888888888889,177,1,-1.223703,HC027,0.099
